artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama
French Montana,White Dress,Jungle Rules,2017,Trump,38.5,"37,173",21.2,23.0,ge allegianceyou better believe iti boarded flighttrump fucked visabitch im regular bitch im secondk,
CupcakKe,Scraps,Queen Elizabitch,2017,Trump,38.5,"37,173",21.2,23.0,nno pot shit hold dumpthe problems bout face goal trumpits over i aint talking breakup manwhy every ,
Royce da 5'9'',Beats Keep Callin' (Freestyle),The Bar Exam 4,2017,Trump,38.5,"37,173",21.2,23.0,ss itlet labels talk desiigner mumble like donald trumpthrowing money hitting everybody auntie uptry,
T.I.,DOPE,Hip Hop Alternative,2017,Trump,38.5,"37,173",21.2,23.0,lowing gasoline put hat leanwhere i stay say fuck trump daytwo three pistol metal she brought o kush,
Desiigner,Liife,none,2017,Trump,38.5,"37,173",21.2,23.0,ay focused rhyminshout big blood fuck policeheard trump countyi seen niggas fedswhen i pulled up yea,
Hopsin,The Purge,No Shame,2017,Trump,38.5,"37,173",21.2,23.0,bolt screwed indont care cult inim awol like im d trumps new plani givin mo action mo thrashinoldfas,
Kalash Criminel,Euphorie,Oyoki,2017,Trump,38.5,"37,173",21.2,23.0, kivu qui les paye  qui les finance ça est donald trump est passé marine le pen prend la confianceli,
Kalash Criminel,Piano sombre,Oyoki,2017,Trump,38.5,"37,173",21.2,23.0,n discuteoui obama cétait une carotte mais donald trump cest un fils de put,u recul pahpose toi deux secondes quon discuteoui obama cétait une carotte mais donald trump cest un
Mert,Boxerschnitt,Kunde ist König,2017,Trump,38.5,"37,173",21.2,23.0,sonnenbankpyramide dollarschein hurensohn  donald trumplila schein applestore kadewe portemonnaiecls,
21 Savage,Thug Life,Issa Album,2017,Trump,38.5,"37,173",21.2,23.0,got whatchu want hoimma tint presidential like im trump thoughsecret service shooters leave em nigga,
Dreezy,Spar,Hip Hop Hit List (Vol. 3),2017,Trump,38.5,"37,173",21.2,23.0,g usthey disregarding usand i go dc im tryna spar trumpim politician cant ignore stuffthis really fr,
Gorillaz,Let Me Out,Humanz,2017,Trump,38.5,"37,173",21.2,23.0,er mourn im praying neighborsthey say devils work trump calling favorsyou say im dangerous i speak n,
Big Sean,Light,I Decided.,2017,Trump,38.5,"37,173",21.2,23.0, i gotta stunt hardi took hand gave played donald trump cardand realized counting money never feel g,
Rick Ross,Apple of My Eye,Rather You Than Me,2017,Trump,38.5,"37,173",21.2,23.0,ingscop kill nigga nobody gangbangim happy donald trump became presidentbecause gotta destroy elevat,
Meek Mill,1942 Flows,Wins & Losses,2017,Trump,38.5,"37,173",21.2,23.0,gas sold rawstarted sellin white sell moreim like trump aint feelin us cops still killin usniggas ta,
Eminem,Framed,Revival,2017,Trump,38.5,"37,173",21.2,23.0,cks on theres tonka truck yardbut dog fuck ivanka trump trunk cargotta get bottom try solve itmust g,
Miguel,Come Through and Chill,War & Leisure,2017,Trump,38.5,"37,173",21.2,23.0,ow mind like kaepernick kneelinor police killings trump sayin slick shitmanipulatin poor white folks,
Smokepurpp,Audi.,Deadstar,2017,Trump,38.5,"37,173",21.2,23.0,up niggayuh i know bitch want me niggafuck donald trump niggathat bitch dont want you niggayuh ayy y,
Big Sean,No Favors,I Decided.,2017,Trump,38.5,"37,173",21.2,23.0,i cant government handle commandoyour man want it trumps bitchill make whole brand go yeahand tell d,
Kendrick Lamar,XXX.,DAMN.,2017,Trump,38.5,"37,173",21.2,23.0,es banksemployees bosses homicidal thoughtsdonald trumps office lost barackand promised never doubt ,
CyHi The Prynce,Looking for Love,No Dope on Sundays,2017,Trump,38.5,"37,173",21.2,23.0,,bun 9 run iron pah pah pah pahone kind want jesus obama combined girli know looking for hahahauh wan
Royce da 5'9'',Let's Take Them To War (Freestyle),The Bar Exam 4,2017,Trump,38.5,"37,173",21.2,23.0,,oswatching comments like papparazi watching sasha obama growi got elijah mohammed glowi got dough ra
CyHi The Prynce,I'm Fine,No Dope on Sundays,2017,Trump,38.5,"37,173",21.2,23.0,, money plate huhput momma new thingmy father like obama suit gameniggas wanna know much funds worthf
Chris Brown,Yoppa,Heartbreak On a Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,2017,Trump,38.5,"37,173",21.2,23.0,,thumbin commaspresidential rollie got feelin like obama wooblew big got feelin like osamapussy rappi
Macklemore,Willy Wonka,GEMINI,2017,Trump,38.5,"37,173",21.2,23.0,, motherfuckin icon boots made pythoni met pres im obamas ipodmy front yard got kinds carslong cadi b
Juicy J,Ain't Nothing,none,2017,Trump,38.5,"37,173",21.2,23.0,,giatos classic like bitch got skateshaving dinner obama smelling like pound hayi might blow pound da
Vince Staples,BagBak,Big Fish Theory,2017,Trump,38.5,"37,173",21.2,23.0,,vincent votinwe need tamikas shaniquas oval officeobama aint enough me getting startedthe next bill 
Jidenna,Long Live the Chief,The Chief,2017,Trump,38.5,"37,173",21.2,23.0,,ddining governors daughterand father say i remind obamaim chief diplomat every dayand im black white
Gorillaz,Ascension,Humanz,2017,Trump,38.5,"37,173",21.2,23.0,,inna catch body like i got gun badgeim finna turn obama patna fore dashpull pad wipe ass flagim play
Rick Ross,Idols Become Rivals,Rather You Than Me,2017,Trump,38.5,"37,173",21.2,23.0,,tionscigars oval office ronald reaganheard barack obama whisper asalaam alaikumlive moment die stree
BROCKHAMPTON,STAR,SATURATION,2017,Trump,38.5,"37,173",21.2,23.0,,horryonly time get spotlightderay im top flightgo obama i drop micsim black tom hanksyou call nigga 
Kendrick Lamar,HUMBLE.,DAMN.,2017,Trump,38.5,"37,173",21.2,23.0,,shit way crazy ayy amaze me ayyi blew cool ac ayy obama paged me ayyi fabricate it ayy yall fakin ay
Shindy,ROLI,DREAMS,2016,Obama,51.7,"37,247",22.0,24.3,en sidechicksah bitch ich bin im tower wie donald trumpich renn die scheiße wie forrest gumpyves sai,
Nekfeu,Saturne,none,2016,Obama,51.7,"37,247",22.0,24.3,dans la mère à manuel valls dans la mère à donald trumpjai des valeurs je suis pas prêt à tout pour ,
T.I.,40 Acres,Us or Else: Letter to the System,2016,Obama,51.7,"37,247",22.0,24.3,rackers see oh againtake ass trap middle finger totrumpfuck police crooked comethey pull know legita,
Royce da 5'9'',Hard,Layers,2016,Obama,51.7,"37,247",22.0,24.3,m cause im flyest backpacker everim flyer mos def trump tower surrounded four chefsfixing slamon cro,
Dave East,Bad Boy On Death Row,Kairi Chanel,2016,Obama,51.7,"37,247",22.0,24.3,ill clinton gettin head buggin think im notdonald trump aint safe block gotcha wifey ihopyour baby m,
Ledinsky,DonaldTrumpMakesMeWannaSmokeCrack,High Society EP,2016,Obama,51.7,"37,247",22.0,24.3,criminals hereand big wall new frontierwell donaldtrumpmakesmewannasmokecrackgo canada never come ba,
Swet Shop Boys,T5,Cashmere,2016,Obama,51.7,"37,247",22.0,24.3,n her majestys londonwhere think majesty come fromtrump want exit press red buttonto watch netflix b,
Kollegah,Cold Blooded,Imperator,2016,Obama,51.7,"37,247",22.0,24.3,zu einer hälfte don juan zur andren hälfte donald trumpdie szene kann mir einn blown nur farid bang ,
G Herbo,Strictly 4 My Fans (Intro),Strictly 4 My Fans,2016,Obama,51.7,"37,247",22.0,24.3,what fred hamp president i woke praying thatcause trump become president might bring slavery backbee,
Watsky,Exquisite Corpse,x INFINITY,2016,Obama,51.7,"37,247",22.0,24.3,rosebet butler knows make us freea lauren olamina trumped worlda black magic woman still called girl,
Epic Rap Battles of History,Donald Trump vs Hillary Clinton,Epic Rap Battles of History (Season 5),2016,Obama,51.7,"37,247",22.0,24.3,g bankrupt since 90sif i iran find meyou care job trumpyou think desk shinyi said i respect children,
