artist,lyrics,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate
Childish Gambino,turn beat mereally everything like headphonesyeah yeah little bit louderno punch know mean workin hardlook young rich ngga sht pops immigrantlifestyle illegit know i businessesstarted trunk ended dealershipall gold rollie black face blemisheslegend city cause i grind vigorousif i show face west texas thats big eventgotta pay twenty cents hear ventim really sht take flickballin ten toes difference isi call shots never ask permission mani got lot big plans vision andi aint failed yet bout dollar hell yesim problem failed test getting worsei swear im getting money i hope gettin yoursim killin nggas solo know im gettin morenow young gambino  gothis real sht east sidethis bad girls good guysthis grandma west sidethis nggas talkin sht websitedamn i feel good aint feelin nothinthis nggas livin dime dozenbino got good sht nipsey got aceson young rich sht kennedys black facesyeah black facesmy rollie racist black facesobama million dollar bill black facesyeah ngga black faceslook yo i got thisyo turn turn littleay go okayleague own swag geena davisonly rapper make 100k playlistmy rollie racist black faceswe new face it kill em like jasongrind sleep man ngga need braceswonder feelin like used nervous typethey aint mention bino man sht must purpose righthostile ngga stylekind flow paint picture norman rockwelli eat pasta everything lowcarbi fly coach now say i fly goyardleave face covered coast guardmetaphor mozart tell em truthm fox people family tiesmagazines got black faces somebody diesi mean look donna summers tryin survivepeople wrestle petty cashwhen really cryin one percentlike tipped milk glassfck yall ima let grandkids balllook future dudes last weeksee stuntin conde nastyme nipsey grown sht rentown sht jim crow sht black facesay ngga black facesblack facesthats royalty ngga,Black Faces,Royalty,2012,Obama,47.8,"33,072",27.2,31.9
Fabolous,would lovewould lovecould left long time agofuck ima goa brother back house let obama godo cause love nigga advice momma gothose follow green first kind gobeing broke aint joke im comicalseven digits nigga 2 commas homake first million make lastdont come aint ready try make fastyou cant learn shit never make classyou cant recycle placed trashi started wanted money stacey dasha car cost house place crashpull hammer like camera wanna face flashcause lose one sons replacing nashbet faces show faces stashtheres came fromyall know i came fromits boy call papiso im keep making paper copyyou squares could never stop me triangles play metwo lines fuck boys pause that play meright i left that lets get back real shitthat sit back chill shit with packs kill shiti chit chat bout trill shit spit hot feel shiti give four bars itll kit kat real shitwho fucking me i mean besides bitchi deebo ho niggas hide bitchlike chain reds grandmomma gave himi got thing women i like misbehavingyou know like bad mike badso ima checkem i seeem nike adcause life things come go like fastand im one favors using words like hadim shit turning dreams average shitbring trophy club dallas maverick shitniceeeei came first month moneyto waking whenever i want moneyniceeei chase paper i hunt moneymake 50 racks 3pm call lunch moneyniceeeenigga ya stunt money blunt moneyyour boo got text back meand what fuck want mebut i know fuck want meyou aint gotta front mei knowi know want mei knowi know want moneyits right getting itquestion i come withis would lovewould lovewould lovewould lovewould lovewould lovewould lovewould lovewould lovewould lov,For the Love,The Soul Tape 2,2012,Obama,47.8,"33,072",27.2,31.9
Nicki Minaj,im shit makeup curl hair upall booty here mine im dollar worth dimereal bosses stand up ladies throw hands sayi know im cute i know im fly you ask why cause im shitim legit makeup curl hair upall booty here mine im dollar worth dimereal bosses stand up ladies throw hands sayi know im cute i know im fly you ask why cause im shitbeat em like stole some beat em like stole someall booty got em dreaming lemme hold somelet me let hear boy let me let wear boylet get expensive car let steer boyreal big pretty titty shut every cityif want kid kitty gotta get key meall new everything plus pay rent meif wilderness niggas pitch tent metent me tent me get bodiedlong hair makeup pilatesthose niggas step damn zanottisall bitches sons whos daddyi graduate honors i ball nead oconnori freestyle i got shout obamayes yes i ill i go killhoes sons birth control i pillwhat i gotta do what i gotta emstep club everybody like themgirls girls girlswhat done did i need referralsmotherfuckers know im shit legitand motherfucker suck dicki tell em everybody else oppositei put em game give em five percentim shiit makeup curl hair upall booty here mine im dollar worth dimereal bosses stand up ladies throw hands sayi know im cute i know im fly you ask why cause im shitim shit makeup curl hair upall booty here mine im dollar worth dimereal bosses stand up ladies throw hands sayi know im cute i know im fly you ask why cause im shitim like really famous i got famous anusno famous amos fame heinouslemme lemme hear boy lemme lemme wear boyall money coming in i never share that boyno lipstick lashes thoughbut i got real big ol ratchet thoughi said dude yo dude packing doughhe said want good box like pacquiaoi said well name nicki nice meet youif really wanna know ill give proceduregot whole bunch pretty gang cliqueand lookin ballers alopeciai hate wack niggas i really slap niggasthese niggas trippin i put em map niggashow gon break fly how gon fake dieaint wedding girls cake hasleeping me mattress thoughim burn beat down matches thoughno cant keep up they molasses slowim greatest queens bitch cashes flowlooking like faulttrying take sneak pictures iphonei like independent bitches like july 4thnow thats young harriet died forim shit makeup curl hair upall booty here mine im dollar worth dimereal bosses stand up ladies throw hands sayi know im cute i know im fly you ask why cause im shitim shit makeup curl hair upall booty here mine im dollar worth dimereal bosses stand up ladies throw hands sayi know im cute i know im fly you ask why cause im shit,I'm Legit,Pink Friday: Roman Reloaded - The Re-Up,2012,Obama,47.8,"33,072",27.2,31.9
Joey Bada$$, its either youits sort like survival know survival fittest knowyou stay alive  1 joeyniggas want warim martian army spartanssparring knife missile fightget intel right intelligence irrelevantbut definite i spit speech impedimentsbrooklyns residence best evidentwe got niggas penuts like elephantsthrow em trunk hate thoughwe give fuck long collect pay soyall collect pesos ya money aint right herei got girls next wood like lightyear im right cheatryna get buzz tryna pollinatesteez got presidential shit inauguratemy pe conglomerates bout pee wanna be weak mcair em leave em empty congratulate semiautofire flame spitter like komodono time fake people simmin like kimoraim emporah search adora heart goba boom ba boom ba boom boom ba boomits panic like dora shots blastsee i raised way im place raise klike every day every way every go aint safethe thing i say praycause niggas start equippinand throw clip inyour blood drippinand got slippinanother victimdont know whats hit them spinaljust another man defeated survivalthats biggest rival whole lifethese bars cant handle better hold tightthey sayin im best im like rightstill aint got enough shine last whole night niggainterludeyo fuck police niggafuck every ass corrupt politician wall streetpe public enemy assassinate us bitchfuck that fuck everything sonfuck government fuck listenin shityou want fuckin energy dickheads  2 steezits like 6 milli ways die nigga choose onedoomsday comin start investin gunsnew gats booby traps bazooka strapsbetter play cards right booster packseverybody claim used rapbut aint even punchlines more im abusing tracksleaving instrumentals blue blackim marty mcfly mode tell em futures backriding hoverboards wiping motherboardsstopped spitting fire cause motherfuckin lung scorchedking arthur swung sworda king author i aint even use pen like month fouri hard time writing lyricsnow im way heads science fictionyou try get it man flyest itwith mind fine interest finest intereststhey say hard work pays offwell tell based god quit day jobcause pes take offwith protons electrons homie thats abombfuckin ridiculousfinger president screamin fuck censorshipif obama got president electionthen pe boys bout make interventionfuck i said i want blood shedcause nowadays respect gotta pump leadi guess columbine listenin chaka khanand pokémon gettin recognized comicconits like weve content losinand half students fallen victim institutionjobs scarce since scientific revolutionand little kids shootin uzis cause given emlittle weapon code name smith wessonand quick catch bullet like interceptionif mans tryna disrepect itsend message millisecond  nigga,Survival Tactics,1999,2012,Obama,47.8,"33,072",27.2,31.9
Macklemore,  1 macklemorecant nobody get car todayback seat feeling like charter planebumping silkk da shocker charge it 2 da gamepaint dripping like im whipping marmalade whoalook way im shiningi checking mileageshe said much roliei said worry im timelesswatching toy story 3 thats great fucking moviecity jimi kurt quincycity me eddie bruce lee whoaking road i drive slow like whoaand i switched geico like whoacelebrating life goalsbut aint getting ride homechorusi riding townmy music loudwindows yeah hear nowi turn up i need bassand chain bright cant see facei riding town town towni riding town town towni riding town town towni riding town town towni riding town  2 macklemoreall eyes nowi riding seatowntaking pics i eat outgirls ask freestyleneighbors hate i speed outi aint turning beats downgps i reroutechuck deuce i peace outsun roof tinted need opinionsi business tinderand i single id right yabut im committed keep dick britchesthe women moving bodiessunset numerous palm treesfollowed paparazzibut get partytell bell hop im sorrywe 40 deep lobbytravel world possebut soon ill homeso call momma tell pick phonecause i need homemade lasagna thats fresh stovegrabbing keys im fresh doorking city whose next thronechorusi riding townmy music loudwindows yeah hear nowi turn up i need bassand chain bright cant see facei riding town town towni riding town town towni riding town town towni riding town town towni riding town  3 lil yachtywhen hear speaker sound ound oundyou know is lil boat townwhoa beat happy i never frownand hair nappy gonna problem braiding downoh no oh no grinding gojump start i bought new whip push startpush coup highway like go kartall niggas keep toaster like pop tartmake moan sound like mozartpure arti think mad i broke game crowbartop charts hip hop aint new starsrock stars look chains call ice popsring pops let rain drop wrist watchfuck cops fuck donald trump bitch macklemore lil boatanything else need knowchorusi riding townmy music loudwindows yeah hear nowi turn up i need bassand chain bright cant see facei riding town town towni riding town town towni riding town town towni riding town town towni riding town,Marmalade,GEMINI,2017,Trump,38.5,"37,173",21.2,23.0
Eminem, its calm storm right herewait i gonna start offi forgot oh yeah thats awfully hot coffee potshould i drop donald trump probably notbut thats i got til i come solid plotgot plan i gotta hatch itlike damn apache tomahawkima walk inside mosque ramadanand say prayer every time melania talksshe gets mou ahh ima stopbut better give obama propscause got office nows kamikazethatll probably cause nuclear holocaustand drama popsand waits shit quiet hell gas plane upand fly around til bombing stopsintensities heightened tensions risintrump comes givin shit stingy i amexcept comes havin balls go me hide emcause got fuckin nuts like empty asylumracisms thing hes fantastic forcause thats gets fuckin rocks hes orangeyeah sick tanthats wants us disbandcause withstandthe fact were afraid trumpfuck walkin egg shells i came stompthats keeps screamin drain swampcause hes quicksandits like take step forwards backwardsbut form distractionplus gets enormous reactionwhen attacks nfl focus instead talkin puerto rico gun reform nevadaall horrible tragedies hes bored would rathercause twitter storm packersthen says wants lower taxesthen whos gonna pay extravagant tripsback forth fam golf resorts mansionssame shit tormented hillary slanderedthen morefrom endorsement bannonsupport klansmentiki torches hand soldier thats blackand comes home iraqand still told go back africafork dagger racist 94yearold grandpawho keeps ignorin past historical deplorable factorsnow black athlete spoiled little brat fortryna use platform statureto try give voice onehe says youre spittin face vets fought us bastardsunless pow whos tortured batteredcause zeroscause like war heroes capturedthats disrespectin militaryfuck that colin ball fistand keep shit balled like donald bitchhes gonna get rid immigrantshes gonna build thing taller thiswell build it i hope rock solid brickscause like politics im usin trickscause im throwin piece shit wall til sticksand fan mine whos supporter hisim drawing sand line either againstand cant decide like spliton stand beside ill thisfuck youthe rest america stand upwe love military love countrybut fucking hate trump,The Storm (2017 BET Hip-Hop Awards Cypher Verse),BET Hip-Hop Awards 2017,2017,Trump,38.5,"37,173",21.2,23.0
Bassi Maestro,benvenuti milanocapitale indiscussa del rap italianoil posto cui vengono perché sanno chi siamodove quando sbagli non ti danno una manobenvenuti milanodove chi chiede scusa non finisce lontanodove cè merda di cui non parla savianodovunque cè una festa pronti raga dai andiamochiedono zzala che flow chai un flow doro klondikefai silenzio sì quando rimo tu un cagnolino yorkshiremuovo fili se ho mano il micro incontri del quarto tipola tua tipa è già al quarto tipo tu chiudilo un quarto tipofaccio fuego con bassi sono il solito pazzocambia poco con gli anni succhiaci ancora il cazzoghettuso gattuso su sta maglia frà ci cucio l8parli come fossi provenzano dal vivo sei un cucciolottome ne lavo le mani nuovo ponzio pilatosai il rap sono dello staff mollo uno stronzo privatoehi ehi stai buono non ho ancora cominciatoquesto suono è c4 colpito e affondatofai il mio nome da un po cosa cazzo continuitanti chiamano hip hop musica per bambiniil mondo è pieno di bitches quindi cosa te la tiriquello che chai tra le gambe lhanno visto tutti laura pausiniseh nax sbandi solo nella folla una bolla tu bugs bunnyfottiti che fotto tuoi soci da rap funnybuttati di sotto ti shotto bro ted bundylk fuori gli ak milano è un golgotafumo coi califfi tu succhi calippi sodomafuori al bangla bevo la quarta meditazione sufiaspiro la scighera è la city che suona come i gufidivinazione banda vedo il piombo che si fa divinazione ugandabombe nella mutandabello di notte zona mi dona il fracpresidente della merda mcdonald trumpmolla guantoni zio non boxi con dioil credo è come loppio sono tossico anchioquale reggaeton flusso esoterico alla rené guénonrimo poi ti cago sul cuscino bro come rimbaudsulla traccia con lanz khan sale lansiatieni alto la guardia ho le rime ras kasspiù mangi merda più ne hai frà la vita è aspravai via di testa come il pazzo che ha sclerato franciail cielo è il limite per questo disegniamo cupoleè il motivo per cui spesso ho testi sulle nuvolelettere ancora più cubiche santi numi manmetto fuoco moltitudine quali cruditédini ha le parole come scarabeoma non è un fottuto gioco sono gara e creostimolazioni come un cazzo di massaggio thaiquando eri viaggio hai preso il cazzo frate ce la faiscrivo fuck itqui milano dick dastardlyveterano capo di una click di bastardiche ti fanno fare figura meschinemetti stop la lingua e bevi stop schemingsopra ksluggah porto la tribùè una vergogna questo 16 lhai scritto tufrate suoni elementare fuori dalle cassee salutami mia figlia quando torni classebenvenuti milanocapitale indiscussa del rap italianoil posto cui vengono perché sanno chi siamodove quando sbagli non ti danno una manobenvenuti milanodove chi chiede scusa non finisce lontanodove cè merda di cui non parla savianodovunque cè una festa pronti raga dai andiamoho visto sempre milano dalla periferiacostretto guardare palazzi quanto tempo sorseggiare la mia sangriason don simon cinque passi e sono dentroapro le porte di sto inferno usando le chiavi di casa miatavoli imbanditi seduti ai tavoli banditisopra tavoli giullari fanno ridereancora meno di geppi cucciaririmo seguendo spartiti circolarie se mi cerchi circonvalla cerchi circolariimbucato feste come imbuco letterebucato gomme come imburro tessere non sai chi esserecon il tuo buco hai dato il suo benesserenel portafoglio tu chai soldi mentre io cho fototesserefanculo te e gianluca vacchi non vengo ai tuoi yacht partychardonnay e chianti con la mia x sono su hot partyda zona 1 zona 9 già mi fanno gli applausi dai parchie parlano coi pacchi se parlano fatticon tutta questa nebbia non ci vede la pulama se ci becca nino sto pallone lo bucaagente questa è milano come la viviamocantiamo alla madunina poi smadonniamoho gli occhi di mia nonna affissi sul rosariosembra colombina frà parla con un santo colombianobreakn boss picchio il dolore qui dove cova bassiqui le ossa fanno il rumore del piscio sopra sassibirra bionda fammi cantare prima che scilla mordaloro han messo gli alberi zona mi faccio amica lombraè la vergogna degli infami mi disse un saggiosedeva fuori scuola sopra un piaggiomanco un pianto quando nonno è morto forme di coraggiola freddezza di sto mondo ha preso forme di contagiomanco il tempo di guardarmi faccia e già stavo cambiando formatendo alla vitaccia perché che tutto quanto tornae dio nel mio ostracismo ti ho mandato viaromanticismo e bavaria sputo sulla bara mia e bra,Benvenuti A Milano,Mia Maestà,2017,Trump,38.5,"37,173",21.2,23.0
Ces Cru,you heard but believe itthat would kill man breathinand thinking fat chance theres reasonuntil hear blat blat see ityou heard but believe itthat would kill man breathinand thinking fat chance theres reasonuntil hear blat blat see itwell okay thinking gunplaywas isolated thing one placei tell em hell naw keep celly cell onand follow philando alton delrawnout dallas caught onslaughthad couple cop ducking pop popbody drop looking like topthen killed motherfucker bomb botnow cooking beef grill hotyou aint heard deal chilcotits jagged little pill pill caughtin throat wonder stopgreenpeace beach whale watchinnocent still sittin cell blockgot wishin tail halebopplookin gold ticket mailboxgot broke livin localekilla city block business aint know aboutdonald trump ticket know howeverybody lined hopin vote countmaybe kids sake dictatethe real winner runnin fixed raceeither way whoever pick payed rich motherfuckers big waygridlock government day everybody senate sick daylawmakers caught red tape i read im feeling like headcasenow sayin i mightve made mistake i probably shoulda put mixtapeinstead i put name list tapeand kill baby mama gets paid fuck yallwe pretend see like lids lockedlook government caught grid lockread wonder it stopgotta get mine i got caught get gotgrid locklook government caught grid lockread wonder it stopgotta get mine i get caught get goteverybody uneducated problem i think ill live see day people solve itkillin unarmed individuals cold blood aint murder fuck i call itthey even give shit everybody saw it would they running around lawlessacting like ghetto celebrity floss it worst kept secret everybody lost itwhats repercussion puttin bodies coffinswhen got family member running officemoving circle real killers bosses one lose never take lossesanybody gone yes pardon honor i want conned i want conqueredi want caged i want masteri want instrumental disastermurdering after gathering datai see media thinking really matterpeople gotta make move laddersticking whoever long pockets getting fattermamas getting madder daddy give damnif people street dedicating jam im looking mother nature hollering maamkilling little piggy literally going hamand fat cats acting like know bestlive carefree life feeling stresswill ever pay never know i guessbut give shit protesti said fat cats acting like know bestlive carefree life feeling stresswill ever pay never know i guessbut give shit protestwe pretend see like lids lockedlook government caught grid lockread wonder it stopgotta get mine i got caught get gotgrid locklook government caught grid lockread wonder it stopgotta get mine i get caught get gotgrid lockgotta get mine i get caught and,Gridlock,Catastrophic Event Specialists,2017,Trump,38.5,"37,173",21.2,23.0
French Montana,hey karmontanathey forgot whos battlintwenty bandsmade millions decadei pray livefor thousand yearsand i hurt youbaby drink cîroc tearscause control vicesi wanna fuck nice shitdriveway lookin like midlife crisisyou control viceswe grindin night shiftill bet gave dog suicidal crisispriceless i wanna fuck white dressall day oh i bet like ittalk nicely owwtalk nicely owwi got youcloset lookin like milan fashion week i got youmoney jumpin like lebron dominique i got youbetter diea hundred guypull garrake starstalkin recklessdiamonds necklacechest playin checkersthe avion breakfastdimes clean dirty wind upsee future like im roccoand i fall like champofuckin foreign chicksput hoes foreignyou thought yoursshe smell like michael corsshoes fuckin floorswho nigga im definitionwearin penny loafers aint penny pinchingot baddest bitches baggin kitchengot bobby brown new editionthese rappers aint nasjust look commasi skid diamondsi smoke farmersbuy shoes small goin toe toei burn bridges ima call boatwillie new auto boatballin like im earl manigaultthey countin souththe bag mountaini fucked accountantthat pussys fountaina pledge allegianceyou better believe iti boarded flighttrump fucked visabitch im regular bitch im secondknow one im one thats ahead yaif talkin hoes bitch im affiliateciroc boy shoot millioncause control vicesi wanna fuck nice shitdriveway lookin like midlife crisisyou control viceswe grindin night shiftill bet gave dog suicidal crisispriceless i wanna fuck white dressall day oh i bet like ittalk nicely owwtalk nicely owwcause control vicesi wanna fuck nice shitdriveway lookin like midlife crisisyou control viceswe grindin night shiftill bet gave dog suicidal crisispriceless i want fuck white dressall day oh i bet like ittalk nicely owwtalk nicely oww,White Dress,Jungle Rules,2017,Trump,38.5,"37,173",21.2,23.0
K. Michelle,you know happen connect rightrock boy beatsi let know worthyhitmakerits birthday baby whatcha wanna dogot bitches got pretty bitches coming throughknow i said i never it i guess i lieroll l roll l fuck lets get highits birthday baby whatcha wanna dogot bitches got pretty bitches coming throughknow i said i never i guess i lieroll l pour drank fuck lets get highooh put phone meooh go 12 way like 93ooh body calling bout bump grindmmm breakfast bed aint wine dineooh know im bout privacyooh tell nobody shit bout methis shit i into youshit i into youyeah its birthday baby whatcha wanna do yogot bitches got pretty bitches coming throughknow i said i never it i guess i lieroll l roll l fuck lets get highits birthday baby whatcha wanna dogot bitches got pretty bitches coming throughknow i said i never i guess i lieroll l pour drank fuck lets get highhow feel winnernever beginnertell em im pretty sinner yeahbirthday suit dinnerdont fight im piscesbirthday cake white tturn downs unlikelyhe checkin like im nikeno spaghetti throw confetti yeahtell silly giuseppes scurrhey big head readyi need sloppy toppy everyreally want run itimma keep hunnidthey make sick stomachthey gotta pay muhammadjust like name muhammadim bout drop em like donobig back el renoyou betta get tasanai said bitches bumsthey living mommabut tell truthi aint got nothing provebitches stealing sauceim first placecome eat cakeits birthdayits birthday baby whatcha wanna do yogot bitches got pretty bitches coming throughknow i said i never it i guess i lieroll l roll l fuck lets get highits birthday baby whatcha wanna dogot bitches got pretty bitches coming throughknow i said i never i guess i lieroll l pour drank fuck lets get highlets get high baby ohlets get high baby ohlets get high baby ooh oh oh oh oh ohis virgo saggitarius aqariuscause i need answersgemini cancer babetell baby baby oh woah woahhey oh woah babehappy birthday,Birthday,KIMBERLY: The People I Used to Know,2017,Trump,38.5,"37,173",21.2,23.0
CupcakKe,babies killing babies people starving haitimen nutting women disappear babypromoters acting shady bunch em bradyjail full brothers cause fathers way lazyreal struggle trenchesyou lived lifeeat half good morningthen eat half nightthey know fighting know likesim tryna find light tunnel brightbig money dont shop givenchyi support storesremember times i aint dimeme bestfriend sharing clothesthats shit go i stop i goall i thought get either waynever cared i called hoe irrelevantall got skeletons feelings delicate settle itbrought ghetto tryna elegantdropped streets made intelligenti done seen whats newbeen dogged whole life like snoopniggas love lies hate truthim peace im boothi trust none moms niggas life scammers consniggas claim gotta real bondtill one get locked bondreal preach gotta talk em like speechand let hoe tell anything i sayim room door aint sweetand i hate father worst wayhe forgot birthdayhe aint shit since st day bird nigga let chirp awayits hella times done got kicked outwent box living big housecant forget days tryna make waywalked corner store discountwe scrapping quartersbackpack streets like doradont look others thats shorterhad mo tears waterwe scrapping quartersbackpack streets like doradont look others thats shorterhad mo tears waterwhat know washing clothes monthsor tissue rod nose runno pot shit hold dumpthe problems bout face goal trumpits over i aint talking breakup manwhy every time i need something phone breakup manwhy loved ones ground wake mancause niggas gang gang gang wanna shake handsthat aint bout make look cooleryall making mo mistakes bloopersmotherfuckers gotta think futurethese niggas perpetrators like futureyou know i aint holding shit inreal fucked world live inthat  baby milk done took shitand done went got fill inbecomes repeatable unbelievablenow aint got custody i hate people agreeableshorty cut fuckerydark skin light skin still africanamericansociety got yall fucked up yall comparing skinits fucking shame aint shit changewe aint representing like shouldcause still remain gotta tuck yo chainwhen step foot hood or get robbedmake way could make sure yo fam goodaint door knock i needed helpjust hope knocking woodold folks intimidated generationcause youngins follow obligationsjob application need pronounciation much slang conversationgotta get professional spot one shot really gotno dalmatian fuck one house im tryna spotswe scrapping quartersbackpack streets like doradont look others thats shorterhad mo tears waterwe scrapping quartersbackpack streets like doradont look others thats shorterhad mo tears wat,Scraps,Queen Elizabitch,2017,Trump,38.5,"37,173",21.2,23.0
Royce da 5'9'',part 1 bad and boujee remix whatever whatever whatevermr porter trust im gon bust niggathat thang pop pop popwhatever whatever whateverif young metro trust you im gonna shoot you whatever whatever this careers flow realthis aint fourwheel ever poke headedcame bone chilling cold feelingsbanging dope dealing hov ceilings waynehe said started lightnow i shoot guns heavy head crownslaughterhouse minds two tons heart like john q sonand everything say greasy made like piece cheesesteakand everything i say come natural thing beauty like alicia keys facehow i hated streets im even dayim creative beef throw salt im baby mama new salt bae molotov restuarant windowmr hyde dr jekyll nickel nine ricky grimesim silverster mind benderi spark fours arch floorsthatll whoever acting hardcoredoing parkour ima dog porterbrought dog for recording harsh thoughts art formtaking leader like showing chuck norris glass door iswhile im tryna stay outta jaillast war i stay strapped ityall run gats blowingand i miss ass i guess saved bell like zack morrisim bando time i ride citiesbefore time rip bobby christieor bobby whitney flow kci jojolike tech n9ne go kc mojoi stand ground i demolish niggassimple aint ridin mebitch i kiss tell im orlando brown i describe tittiesim rubberband man i count bandsfuck sipping 40 ounces im sober here fucking hoes like 40 oz vannigga im pusha t quiet numbers getting silent money ill retire it i dress loud i throw flyness itlet labels talk desiigner mumble like donald trumpthrowing money hitting everybody auntie uptrying find someone come perform fore i fuck whole entire country upim first one gunnin last one runningto enlightened check wooany rapper want it im back one hundredinvite em scrap wooi narrow shit farrakhan wayyou find anywhere crime waveim schwarzenegger sarah conner favorite rapper acting eric andr,Beats Keep Callin' (Freestyle),The Bar Exam 4,2017,Trump,38.5,"37,173",21.2,23.0
Wale,wale dear ms lily got nerve in sense sense deserve feel me kill i lie cause i aint goin down baby obliged im mary j blige mean im goin cry oh well blowin hot air waitin exhale hell well sucka tale names waley know wales yeahlily when first left me i wantin more but fucking girl next door whatd forwale who talkin about her id got right backlily when first left me i know say id never way just sat daywale you miss me huhlily i lost back then but little help friends i found light tunnel end now calling phone so little whine moan and feeling alonewale nah im kinda bored babylily at first i see cry yea makes smile yea makes smile at worst i feel bad while i smile i go ahead smilewale who talkin me oh nahlily whenever see say want back and i tell jack no mean jackwale well see thatlily i stop laughing no i help myself see messed mental health i quite unwellwale as shouldalily i lost back then but little help friends i found light tunnel end now calling phone so little whine moan and feeling alonewale im glad think so holily at first i see cry yea makes smile yea makes smile at worst i feel bad while i smile i go ahead smilewale i touchin out i got right back like pen pals email chat see i aim like her frame mind nothin pictured but aint wanna listen we kick like fulham and quickie but really wanna make love lily religion simply i that i got cheese i could turn mall rat i leave em door like doormat and im keep knockin like morman the men lie saw em protection endorsed endorphins the girl i adored whore joint the neighborhood roller mother orphanage no tears tears zero from i dinero like pesci let lets set free see were lovers enemies test melily at first i see cry yea makes smile yea makes smile at worst i feel bad while i smile i go ahead smil,Smile,SHINE,2017,Trump,38.5,"37,173",21.2,23.0
T.I.,dope dope dope dope dope dopei feel like im dopedope dope dope dope dopeboy really get highdope dope dope dope dope dopethere hold closedope dope dope dope dope dopeok boy really get highdope dope dope dope dope dopeyeah yeah i feel like im dopedope dope dope dope dopeuh alright boy really get highaye aye yeahdope dope dope dope dope dopethere hold closeanonymous bending corners burners uscome ride meberkin duffle hundred thousand itaye nigga roll upanyway dusse mixed lemonadefeeling good like im dealing yemoving ten daytime limit nevercould shit forevercant even put words i love herfrom slinging work curb hustling drugs herthe jet ride 50 million wonderful feelingshit im high motherfuckerdont ask shit make lie motherfuckerman truth real feel like dre pharrellmixed eric b rakim shawty hell scaleand still game enticing me like every time i see herthey like pop seal high enough see aaliyahfor real man i know chillyou know good make nigga feelim coming downhigh motherfuckerhigh motherfuckerboy really get highhigh motherfuckerhigh motherfuckerthis winter shit got high bitchdripping sauce kicking flavor super fly shitdont need gram get laid ounce get paidg kush roll up drink pour upanyone know us know trap shit dnanumbers needtoknow basis aint qai promised dre i would put game lockand aint taking shit back put everything i gotgod damnaventador hopping lambin residential areas flyin im getting maam tell son better watch it cause rolland disrespect option neighborhoodso watch talking meeven know hating because call niggas indebted mefind ass odddead ass beim coming downhigh motherfuckerhigh motherfuckerboy get mehigh motherfuckerhigh motherfuckerok counting watching call old thingblowing gasoline put hat leanwhere i stay say fuck trump daytwo three pistol metal she brought o kush six packokay well im roll hit thatnow imma make wipe like wet sinkride like jet ski pass next bitchayeim coming downhigh motherfuckerhigh motherfuckerboy really get highhigh motherfuckerhigh motherfuckerim telling you manyeah get high monthi mean  got blowed mani swearhahadre where get shit manyeah westside only manyou know i swear god mani aint known bad day longyou know thank godaye man life aint life aint like you mani swear god pray moreyeah bankrolls bankrolls man digaaliyah miss youyeah oh alrightyeah yeah well thats swellwell thats swell uh,DOPE,Hip Hop Alternative,2017,Trump,38.5,"37,173",21.2,23.0
Desiigner,taz countin fuckin moneycashmoneyapgit git grrrrrahgit git grrrrrahdesiignerlet tell isim real life shit life real life shitnever satisfied goin past richthrows lot money put bread casketsthey wan see ball want draft pickim real life shit life real life shitnever satisfied goin past richthrows lot money put bread casketsthey wan see ball want draft picktold stay away bullshitstay focused rhyminshout big blood fuck policeheard trump countyi seen niggas fedswhen i pulled up yeah hes frowninyeah niggas get bounties herehit ocean drowninbounce bitch beat bouncinhashtag click poundniggas talk shit freestylefuck them everybody stylinhot 97 turn 911when mac 11 streets rhyminpop diamondsmake dj get itim real life shit life real life shitnever satisfied goin past richthrows lot money put bread casketsthey wan see ball want draft pickim real life shit life real life shitnever satisfied goin past richthrows lot money put bread caskets its guccithey wan see ball want draft pickim real lifereal ice real wifei real time i lost mind twiceon interstate gamblin like im shootin diceill drive whole night get low priceeverybody rootin underdogbut top wanna see fallbut fuck em alli put back wallthey hate see ballthey wanna see nigga crawlshout desiigner killin shit desiigneryou gotta hater feelin fuck emgood music make hood musicand aint gotta brag cause used itits gucciim real life shit life real life shitnever satisfied goin past richthrows lot money put bread casketsthey wan see ball want draft pickim real life shit life real life shitnever satisfied goin past richthrows lot money put bread casketsthey wan see ball want draft pickfunnydesiignerall finestfill shootersman boy gettin moneyim love moneythrew hate fireim real life shit life real life shitnever satisfied goin past richthrows lot money put bread casketsthey wan see ball want draft pick,Liife,none,2017,Trump,38.5,"37,173",21.2,23.0
