artist,song,album,year,president,approvalrate,meanincome,povertyrate,blackmurderrate,Trump,Obama,TrumpSentiment,ObamaSentiment
Macklemore,Marmalade,GEMINI,2017,Trump,38.5,"37,173",21.2,23.0,ps let rain drop wrist watchfuck cops fuck donald trump bitch macklemore lil boatanything else need ,,Negative,Not Mentioned
Eminem,The Storm (2017 BET Hip-Hop Awards Cypher Verse),BET Hip-Hop Awards 2017,2017,Trump,38.5,"37,173",21.2,23.0, thats awfully hot coffee potshould i drop donald trump probably notbut thats i got til i come solid,nia talksshe gets mou ahh ima stopbut better give obama propscause got office nows kamikazethatll pr,Negative,Positive
Bassi Maestro,Benvenuti A Milano,Mia Maestà,2017,Trump,38.5,"37,173",21.2,23.0,na mi dona il fracpresidente della merda mcdonald trumpmolla guantoni zio non boxi con dioil credo è,,Negative,Not Mentioned
Ces Cru,Gridlock,Catastrophic Event Specialists,2017,Trump,38.5,"37,173",21.2,23.0,lekilla city block business aint know aboutdonald trump ticket know howeverybody lined hopin vote co,,Negative,Not Mentioned
French Montana,White Dress,Jungle Rules,2017,Trump,38.5,"37,173",21.2,23.0,ge allegianceyou better believe iti boarded flighttrump fucked visabitch im regular bitch im secondk,,Positive,Not Mentioned
CupcakKe,Scraps,Queen Elizabitch,2017,Trump,38.5,"37,173",21.2,23.0,nno pot shit hold dumpthe problems bout face goal trumpits over i aint talking breakup manwhy every ,,Negative,Not Mentioned
Royce da 5'9'',Beats Keep Callin' (Freestyle),The Bar Exam 4,2017,Trump,38.5,"37,173",21.2,23.0,ss itlet labels talk desiigner mumble like donald trumpthrowing money hitting everybody auntie uptry,,Negative,Not Mentioned
T.I.,DOPE,Hip Hop Alternative,2017,Trump,38.5,"37,173",21.2,23.0,lowing gasoline put hat leanwhere i stay say fuck trump daytwo three pistol metal she brought o kush,,Negative,Not Mentioned
Desiigner,Liife,none,2017,Trump,38.5,"37,173",21.2,23.0,ay focused rhyminshout big blood fuck policeheard trump countyi seen niggas fedswhen i pulled up yea,,Negative,Not Mentioned
Hopsin,The Purge,No Shame,2017,Trump,38.5,"37,173",21.2,23.0,bolt screwed indont care cult inim awol like im d trumps new plani givin mo action mo thrashinoldfas,,Negative,Not Mentioned
Kalash Criminel,Euphorie,Oyoki,2017,Trump,38.5,"37,173",21.2,23.0, kivu qui les paye  qui les finance ça est donald trump est passé marine le pen prend la confianceli,,Positive,Not Mentioned
Kalash Criminel,Piano sombre,Oyoki,2017,Trump,38.5,"37,173",21.2,23.0,n discuteoui obama cétait une carotte mais donald trump cest un fils de put,u recul pahpose toi deux secondes quon discuteoui obama cétait une carotte mais donald trump cest un,Positive,Positive
Mert,Boxerschnitt,Kunde ist König,2017,Trump,38.5,"37,173",21.2,23.0,sonnenbankpyramide dollarschein hurensohn  donald trumplila schein applestore kadewe portemonnaiecls,,Negative,Not Mentioned
21 Savage,Thug Life,Issa Album,2017,Trump,38.5,"37,173",21.2,23.0,got whatchu want hoimma tint presidential like im trump thoughsecret service shooters leave em nigga,,Negative,Not Mentioned
Dreezy,Spar,Hip Hop Hit List (Vol. 3),2017,Trump,38.5,"37,173",21.2,23.0,g usthey disregarding usand i go dc im tryna spar trumpim politician cant ignore stuffthis really fr,,Negative,Not Mentioned
Gorillaz,Let Me Out,Humanz,2017,Trump,38.5,"37,173",21.2,23.0,er mourn im praying neighborsthey say devils work trump calling favorsyou say im dangerous i speak n,,Negative,Not Mentioned
Big Sean,Light,I Decided.,2017,Trump,38.5,"37,173",21.2,23.0, i gotta stunt hardi took hand gave played donald trump cardand realized counting money never feel g,,Positive,Not Mentioned
Rick Ross,Apple of My Eye,Rather You Than Me,2017,Trump,38.5,"37,173",21.2,23.0,ingscop kill nigga nobody gangbangim happy donald trump became presidentbecause gotta destroy elevat,,Negative,Not Mentioned
Meek Mill,1942 Flows,Wins & Losses,2017,Trump,38.5,"37,173",21.2,23.0,gas sold rawstarted sellin white sell moreim like trump aint feelin us cops still killin usniggas ta,,Positive,Not Mentioned
Eminem,Framed,Revival,2017,Trump,38.5,"37,173",21.2,23.0,cks on theres tonka truck yardbut dog fuck ivanka trump trunk cargotta get bottom try solve itmust g,,Positive,Not Mentioned
Miguel,Come Through and Chill,War & Leisure,2017,Trump,38.5,"37,173",21.2,23.0,ow mind like kaepernick kneelinor police killings trump sayin slick shitmanipulatin poor white folks,,Positive,Not Mentioned
Smokepurpp,Audi.,Deadstar,2017,Trump,38.5,"37,173",21.2,23.0,up niggayuh i know bitch want me niggafuck donald trump niggathat bitch dont want you niggayuh ayy y,,Negative,Not Mentioned
